Month_Number,Month,Campaigns,Total_Revenue,Avg_ROI,Avg_CTR,Profitable_Rate
1,January,997,518850209,2.626459378134403,0.08424633248683777,0.7432296890672017
2,February,888,447270652,2.4669819819819816,0.08511379956980845,0.7545045045045045
3,March,979,502022809,2.6887844739530133,0.08463360052872052,0.7589376915219612
4,April,949,460827423,2.4993150684931504,0.08396769223487506,0.7376185458377239
5,May,1041,535417713,2.8036023054755046,0.08721439096914987,0.7761767531219981
6,June,362,174341655,2.5445027624309393,0.08233811357229547,0.7707182320441989
7,July,1041,528372554,2.79314121037464,0.08526678407965081,0.7550432276657061
8,August,971,493962015,2.7495571575695164,0.08613346252832575,0.7651905252317199
9,September,884,459091016,2.6482239819004527,0.08386716288116876,0.75
10,October,1033,541958893,2.7158180058083254,0.08371461245511606,0.7676669893514037
11,November,944,496927665,2.7918220338983053,0.08404196361765294,0.7425847457627118
12,December,1023,526119184,2.734340175953079,0.08469627632564558,0.7565982404692082
